Ex:-9.28324e-07	Ey:-5.43255e-05	E:5.43334e-05
Ex:-6.92347e-07	Ey:-5.45877e-05	E:5.45921e-05
Ex:-4.52483e-07	Ey:-5.48523e-05	E:5.48542e-05
Ex:-2.08675e-07	Ey:-5.51195e-05	E:5.51199e-05
Ex:3.91362e-08	Ey:-5.53893e-05	E:5.53893e-05
Ex:2.91012e-07	Ey:-5.5662e-05	E:5.56627e-05
Ex:5.47015e-07	Ey:-5.59377e-05	E:5.59404e-05
Ex:8.07212e-07	Ey:-5.62165e-05	E:5.62223e-05
Ex:1.07167e-06	Ey:-5.64987e-05	E:5.65089e-05
Ex:1.34046e-06	Ey:-5.67844e-05	E:5.68002e-05
Ex:1.61366e-06	Ey:-5.70737e-05	E:5.70965e-05
Ex:1.89134e-06	Ey:-5.73668e-05	E:5.7398e-05
Ex:2.17358e-06	Ey:-5.76639e-05	E:5.77049e-05
Ex:2.46046e-06	Ey:-5.79652e-05	E:5.80174e-05
Ex:2.75207e-06	Ey:-5.82709e-05	E:5.83358e-05
Ex:3.0485e-06	Ey:-5.85811e-05	E:5.86603e-05
Ex:3.34983e-06	Ey:-5.8896e-05	E:5.89911e-05
Ex:3.65616e-06	Ey:-5.92157e-05	E:5.93285e-05
Ex:3.9676e-06	Ey:-5.95406e-05	E:5.96727e-05
Ex:4.28423e-06	Ey:-5.98708e-05	E:6.00239e-05
Ex:4.60617e-06	Ey:-6.02064e-05	E:6.03824e-05
Ex:4.93352e-06	Ey:-6.05477e-05	E:6.07484e-05
Ex:5.2664e-06	Ey:-6.0895e-05	E:6.11223e-05
Ex:5.60492e-06	Ey:-6.12483e-05	E:6.15042e-05
Ex:5.94921e-06	Ey:-6.1608e-05	E:6.18946e-05
Ex:6.29939e-06	Ey:-6.19742e-05	E:6.22935e-05
Ex:6.65558e-06	Ey:-6.23472e-05	E:6.27014e-05
Ex:7.01794e-06	Ey:-6.27272e-05	E:6.31185e-05
Ex:7.38659e-06	Ey:-6.31144e-05	E:6.35452e-05
Ex:7.76167e-06	Ey:-6.35091e-05	E:6.39816e-05
Ex:8.14335e-06	Ey:-6.39116e-05	E:6.44283e-05
Ex:8.53177e-06	Ey:-6.4322e-05	E:6.48854e-05
Ex:8.9271e-06	Ey:-6.47408e-05	E:6.53533e-05
Ex:9.3295e-06	Ey:-6.5168e-05	E:6.58324e-05
Ex:9.73914e-06	Ey:-6.56041e-05	E:6.6323e-05
Ex:1.01562e-05	Ey:-6.60492e-05	E:6.68255e-05
Ex:1.05809e-05	Ey:-6.65038e-05	E:6.73403e-05
Ex:1.10134e-05	Ey:-6.6968e-05	E:6.78676e-05
Ex:1.14538e-05	Ey:-6.74423e-05	E:6.8408e-05
Ex:1.19025e-05	Ey:-6.79269e-05	E:6.89618e-05
Ex:1.23596e-05	Ey:-6.84221e-05	E:6.95295e-05
Ex:1.28254e-05	Ey:-6.89283e-05	E:7.01114e-05
Ex:1.33e-05	Ey:-6.94459e-05	E:7.0708e-05
Ex:1.37838e-05	Ey:-6.99752e-05	E:7.13199e-05
Ex:1.42769e-05	Ey:-7.05166e-05	E:7.19473e-05
Ex:1.47797e-05	Ey:-7.10704e-05	E:7.25909e-05
Ex:1.52923e-05	Ey:-7.16371e-05	E:7.32512e-05
Ex:1.58151e-05	Ey:-7.22171e-05	E:7.39286e-05
Ex:1.63484e-05	Ey:-7.28109e-05	E:7.46237e-05
Ex:1.68924e-05	Ey:-7.34187e-05	E:7.5337e-05
Ex:1.74475e-05	Ey:-7.40412e-05	E:7.60691e-05
Ex:1.80139e-05	Ey:-7.46787e-05	E:7.68207e-05
Ex:1.85922e-05	Ey:-7.53319e-05	E:7.75923e-05
Ex:1.91825e-05	Ey:-7.6001e-05	E:7.83845e-05
Ex:1.97852e-05	Ey:-7.66868e-05	E:7.9198e-05
Ex:2.04008e-05	Ey:-7.73898e-05	E:8.00336e-05
Ex:2.10295e-05	Ey:-7.81104e-05	E:8.08918e-05
Ex:2.16719e-05	Ey:-7.88494e-05	E:8.17735e-05
Ex:2.23284e-05	Ey:-7.96072e-05	E:8.26793e-05
Ex:2.29993e-05	Ey:-8.03846e-05	E:8.36102e-05
Ex:2.36853e-05	Ey:-8.11822e-05	E:8.45668e-05
Ex:2.43866e-05	Ey:-8.20007e-05	E:8.55501e-05
Ex:2.51039e-05	Ey:-8.28408e-05	E:8.65609e-05
Ex:2.58376e-05	Ey:-8.37032e-05	E:8.76002e-05
Ex:2.65884e-05	Ey:-8.45886e-05	E:8.86689e-05
Ex:2.73567e-05	Ey:-8.5498e-05	E:8.97681e-05
Ex:2.81432e-05	Ey:-8.64322e-05	E:9.08986e-05
Ex:2.89485e-05	Ey:-8.73919e-05	E:9.20617e-05
Ex:2.97732e-05	Ey:-8.83782e-05	E:9.32585e-05
Ex:3.0618e-05	Ey:-8.93919e-05	E:9.44901e-05
Ex:3.14837e-05	Ey:-9.0434e-05	E:9.57577e-05
Ex:3.23709e-05	Ey:-9.15057e-05	E:9.70627e-05
Ex:3.32804e-05	Ey:-9.26079e-05	E:9.84063e-05
Ex:3.4213e-05	Ey:-9.37418e-05	E:9.979e-05
Ex:3.51696e-05	Ey:-9.49085e-05	E:0.000101215
Ex:3.6151e-05	Ey:-9.61093e-05	E:0.000102683
Ex:3.71582e-05	Ey:-9.73455e-05	E:0.000104196
Ex:3.81921e-05	Ey:-9.86184e-05	E:0.000105756
Ex:3.92538e-05	Ey:-9.99295e-05	E:0.000107363
Ex:4.03443e-05	Ey:-0.00010128	E:0.00010902
Ex:4.14648e-05	Ey:-0.000102672	E:0.000110729
Ex:4.26163e-05	Ey:-0.000104107	E:0.000112491
Ex:4.38001e-05	Ey:-0.000105586	E:0.00011431
Ex:4.50176e-05	Ey:-0.000107111	E:0.000116187
Ex:4.627e-05	Ey:-0.000108685	E:0.000118124
Ex:4.75588e-05	Ey:-0.000110308	E:0.000120124
Ex:4.88855e-05	Ey:-0.000111984	E:0.000122189
Ex:5.02517e-05	Ey:-0.000113715	E:0.000124323
Ex:5.16589e-05	Ey:-0.000115502	E:0.000126528
Ex:5.31091e-05	Ey:-0.000117348	E:0.000128806
Ex:5.46039e-05	Ey:-0.000119256	E:0.000131162
Ex:5.61455e-05	Ey:-0.000121228	E:0.000133598
Ex:5.77357e-05	Ey:-0.000123267	E:0.000136119
Ex:5.93768e-05	Ey:-0.000125377	E:0.000138726
Ex:6.1071e-05	Ey:-0.00012756	E:0.000141426
Ex:6.28208e-05	Ey:-0.00012982	E:0.000144221
Ex:6.46288e-05	Ey:-0.00013216	E:0.000147116
Ex:6.64976e-05	Ey:-0.000134585	E:0.000150116
Ex:6.843e-05	Ey:-0.000137097	E:0.000153226
Ex:7.04293e-05	Ey:-0.000139701	E:0.00015645
Ex:7.24985e-05	Ey:-0.000142402	E:0.000159795
Ex:7.4641e-05	Ey:-0.000145205	E:0.000163266
Ex:7.68606e-05	Ey:-0.000148114	E:0.000166869
Ex:7.91611e-05	Ey:-0.000151135	E:0.000170611
Ex:8.15465e-05	Ey:-0.000154273	E:0.000174499
Ex:8.40212e-05	Ey:-0.000157535	E:0.000178541
Ex:8.659e-05	Ey:-0.000160926	E:0.000182743
Ex:8.92577e-05	Ey:-0.000164455	E:0.000187116
Ex:9.20296e-05	Ey:-0.000168128	E:0.000191667
Ex:9.49115e-05	Ey:-0.000171953	E:0.000196407
Ex:9.79092e-05	Ey:-0.000175938	E:0.000201346
Ex:0.000101029	Ey:-0.000180092	E:0.000206495
Ex:0.000104279	Ey:-0.000184425	E:0.000211865
Ex:0.000107665	Ey:-0.000188948	E:0.000217469
Ex:0.000111196	Ey:-0.00019367	E:0.000223322
Ex:0.00011488	Ey:-0.000198605	E:0.000229437
Ex:0.000118727	Ey:-0.000203764	E:0.00023583
Ex:0.000122746	Ey:-0.000209161	E:0.000242518
Ex:0.000126947	Ey:-0.000214812	E:0.000249519
Ex:0.000131343	Ey:-0.000220732	E:0.000256853
Ex:0.000135946	Ey:-0.000226937	E:0.000264541
Ex:0.00014077	Ey:-0.000233448	E:0.000272606
Ex:0.000145828	Ey:-0.000240283	E:0.000281073
Ex:0.000151136	Ey:-0.000247465	E:0.000289967
Ex:0.000156712	Ey:-0.000255017	E:0.00029932
Ex:0.000162574	Ey:-0.000262965	E:0.000309162
Ex:0.000168742	Ey:-0.000271337	E:0.000319527
Ex:0.000175239	Ey:-0.000280162	E:0.000330453
Ex:0.000182087	Ey:-0.000289475	E:0.000341982
Ex:0.000189314	Ey:-0.000299312	E:0.000354158
Ex:0.000196948	Ey:-0.000309712	E:0.000367029
Ex:0.000205021	Ey:-0.000320719	E:0.00038065
Ex:0.000213567	Ey:-0.000332381	E:0.00039508
Ex:0.000222624	Ey:-0.000344751	E:0.000410384
Ex:0.000232235	Ey:-0.000357886	E:0.000426633
Ex:0.000242445	Ey:-0.000371851	E:0.000443907
Ex:0.000253306	Ey:-0.000386717	E:0.000462293
Ex:0.000264876	Ey:-0.000402563	E:0.000481888
Ex:0.000277216	Ey:-0.000419476	E:0.000502801
Ex:0.000290399	Ey:-0.000437554	E:0.000525153
Ex:0.000304502	Ey:-0.000456907	E:0.000549077
Ex:0.000319615	Ey:-0.000477655	E:0.000574724
Ex:0.000335835	Ey:-0.000499937	E:0.000602265
Ex:0.000353276	Ey:-0.000523908	E:0.000631888
Ex:0.000372062	Ey:-0.00054974	E:0.00066381
Ex:0.000392337	Ey:-0.000577632	E:0.000698275
Ex:0.000414262	Ey:-0.000607809	E:0.000735558
Ex:0.000438024	Ey:-0.000640526	E:0.000775975
Ex:0.000463832	Ey:-0.000676075	E:0.000819889
Ex:0.000491931	Ey:-0.000714793	E:0.000867712
Ex:0.000522599	Ey:-0.000757067	E:0.000919924
Ex:0.000556162	Ey:-0.000803346	E:0.000977078
Ex:0.000592996	Ey:-0.00085415	E:0.00103982
Ex:0.000633541	Ey:-0.00091009	E:0.00110889
Ex:0.000678314	Ey:-0.00097188	E:0.00118518
Ex:0.000727926	Ey:-0.00104036	E:0.00126974
Ex:0.0007831	Ey:-0.00111654	E:0.00136379
Ex:0.000844702	Ey:-0.00120162	E:0.00146881
Ex:0.000913772	Ey:-0.00129702	E:0.00158658
Ex:0.000991568	Ey:-0.0014045	E:0.00171925
Ex:0.00107963	Ey:-0.00152618	E:0.00186944
Ex:0.00117984	Ey:-0.00166467	E:0.00204038
Ex:0.00129455	Ey:-0.00182322	E:0.00223607
Ex:0.0014267	Ey:-0.00200589	E:0.00246152
Ex:0.00158001	Ey:-0.00221784	E:0.0027231
Ex:0.00175926	Ey:-0.00246568	E:0.00302895
Ex:0.00197065	Ey:-0.00275797	E:0.00338967
Ex:0.00222235	Ey:-0.00310603	E:0.0038192
Ex:0.0025253	Ey:-0.00352499	E:0.00433621
Ex:0.00289444	Ey:-0.00403551	E:0.0049662
Ex:0.00335055	Ey:-0.00466634	E:0.00574464
Ex:0.00392327	Ey:-0.00545846	E:0.00672212
Ex:0.00465602	Ey:-0.00647196	E:0.00797275
Ex:0.00561449	Ey:-0.00779769	E:0.00960867
Ex:0.00690192	Ey:-0.00957844	E:0.0118061
Ex:0.00868804	Ey:-0.012049	E:0.0148546
Ex:0.0112681	Ey:-0.0156177	E:0.0192584
Ex:0.0151932	Ey:-0.0210469	E:0.0259577
Ex:0.0215909	Ey:-0.029896	E:0.0368773
Ex:0.0330755	Ey:-0.045781	E:0.0564791
Ex:0.056914	Ey:-0.0787526	E:0.0971657
Ex:0.120142	Ey:-0.166203	E:0.205079
Ex:0.401329	Ey:-0.555098	E:0.684981
Ex:13.5088	Ey:-18.681	E:23.0536
Ex:-0.934817	Ey:1.29272	E:1.59531
